127.0.0.1 - - [13/May/2026:16:59:22 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [13/May/2026:16:59:48 +0530] "GET /servlet-mini-project/login HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [13/May/2026:17:00:43 +0530] "GET /01_Spring_Core_Demo/DemoController HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [13/May/2026:17:05:50 +0530] "GET /dailyworkout HTTP/1.1" 404 764
0:0:0:0:0:0:0:1 - - [13/May/2026:17:05:53 +0530] "GET /dailyworkout HTTP/1.1" 404 764
0:0:0:0:0:0:0:1 - - [13/May/2026:17:05:53 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [13/May/2026:17:05:54 +0530] "GET /dailyworkout HTTP/1.1" 404 764
0:0:0:0:0:0:0:1 - - [13/May/2026:17:05:55 +0530] "GET /dailyworkout HTTP/1.1" 404 764
0:0:0:0:0:0:0:1 - - [13/May/2026:17:09:22 +0530] "GET /dailyworkout HTTP/1.1" 404 764
0:0:0:0:0:0:0:1 - - [13/May/2026:17:09:22 +0530] "GET /dailyworkout HTTP/1.1" 404 764
0:0:0:0:0:0:0:1 - - [13/May/2026:17:09:23 +0530] "GET /dailyworkout HTTP/1.1" 404 764
0:0:0:0:0:0:0:1 - - [13/May/2026:17:09:23 +0530] "GET /dailyworkout HTTP/1.1" 404 764
0:0:0:0:0:0:0:1 - - [13/May/2026:17:09:23 +0530] "GET /dailyworkout HTTP/1.1" 404 764
0:0:0:0:0:0:0:1 - - [13/May/2026:17:09:24 +0530] "GET /dailyworkout HTTP/1.1" 404 764
0:0:0:0:0:0:0:1 - - [13/May/2026:17:09:27 +0530] "GET /dailyworkout HTTP/1.1" 404 764
0:0:0:0:0:0:0:1 - - [13/May/2026:17:10:38 +0530] "GET /dailyworkout HTTP/1.1" 404 764
0:0:0:0:0:0:0:1 - - [13/May/2026:17:10:38 +0530] "GET /dailyworkout HTTP/1.1" 404 764
0:0:0:0:0:0:0:1 - - [13/May/2026:17:10:38 +0530] "GET /dailyworkout HTTP/1.1" 404 764
0:0:0:0:0:0:0:1 - - [13/May/2026:17:10:59 +0530] "GET /dailyworkout HTTP/1.1" 404 764
0:0:0:0:0:0:0:1 - - [13/May/2026:17:11:00 +0530] "GET /dailyworkout HTTP/1.1" 404 764
0:0:0:0:0:0:0:1 - - [13/May/2026:17:11:01 +0530] "GET /dailyworkout HTTP/1.1" 404 764
0:0:0:0:0:0:0:1 - - [13/May/2026:17:11:01 +0530] "GET /dailyworkout HTTP/1.1" 404 764
0:0:0:0:0:0:0:1 - - [13/May/2026:17:11:06 +0530] "GET /dailyworkout HTTP/1.1" 404 764
